捭闔之術,捭阖之术,bai3 he2 zhi1 shu4,paɪ xɤ ʈʂɨ ʂu,5,ʈ
百花齊放，百家爭鳴,百花齐放，百家争鸣,bai3 hua1 qi2 fang4 bai3 jia1 zheng1 ming2,paɪ xwa tɕʰi fɑŋ paɪ tɕja ʈʂɤŋ miŋ,6,t
百貨,百货,bai3 huo4,paɪ xwɔ,5,ɔ
百貨公司,百货公司,bai3 huo4 gong1 si1,paɪ xwɔ kʊŋ sɯ,5,ɔ
百家爭鳴,百家争鸣,bai3 jia1 zheng1 ming2,paɪ tɕja ʈʂɤŋ miŋ,6,a
百科,百科,bai3 ke1,paɪ kʰɤ,4,ɤ
百科全書,百科全书,bai3 ke1 quan2 shu1,paɪ kʰɤ tɕʰɥœn ʂu,4,ɤ
擺款,摆款,bai3 kuan3,paɪ kʰwan,4,w
擺擂,摆擂,bai3 lei4,paɪ leɪ,4,e
擺擂台,摆擂台,bai3 lei4 tai2,paɪ leɪ tʰaɪ,4,e
百里香,百里香,bai3 li3 xiang1,paɪ li ɕjɑŋ,5,ɕ
百忙之中,百忙之中,bai3 mang2 zhi1 zhong1,paɪ mɑŋ ʈʂɨ ʈʂʊŋ,6,ʈ
柏木,柏木,bai3 mu4,paɪ mu,4,u
擺弄,摆弄,bai3 nong4,paɪ nʊŋ,3,n
百善孝為先,百善孝为先,bai3 shan4 xiao4 wei2 xian1,paɪ ʂan ɕjɑʊ weɪ ɕjɛn,4,a
擺設,摆设,bai3 she4,paɪ ʂɤ,4,ɤ
柏樹,柏树,bai3 shu4,paɪ ʂu,4,u
百思不得其解,百思不得其解,bai3 si1 bu4 de2 qi2 jie3,paɪ sɯ pu tɤ tɕʰi tɕjɛ,8,ɤ
百思不解,百思不解,bai3 si1 bu4 jie3,paɪ sɯ pu tɕjɛ,8,ɕ
擺脫,摆脱,bai3 tuo1,paɪ tʰwɔ,4,w
百萬,百万,bai3 wan4,paɪ wan,4,a
百萬富翁,百万富翁,bai3 wan4 fu4 weng1,paɪ wan fu wɤŋ,4,a
